                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2279,                 2.3422,                 1.2588,                0.05093,                      1,                0.26656,                0.17418,                 1.2247,                 6.0222,                 1.1687,                0.00044,                0.00044,                0.00044
                      2,                 1.1408,                 1.5931,                 1.1971,                0.09455,                0.14286,                0.12343,                0.09298,                 1.1103,                 6.9012,                 1.1321,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.1528,                 1.4512,                 1.1919,                0.25494,                0.57143,                0.21359,                0.15342,                 1.3383,                  7.656,                 1.2326,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.1617,                  1.388,                 1.2067,                0.04562,                0.42857,                0.05256,                0.03269,                 1.6098,                 13.819,                 1.4814,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.1206,                 1.2926,                 1.1707,                0.12011,                0.42857,                 0.2297,                0.16837,                 1.1728,                 13.513,                 1.2956,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1242,                 1.2083,                   1.17,                0.11063,                0.42857,                0.23448,                0.16838,                 1.2477,                 18.591,                 1.3661,               0.001901,               0.001901,               0.001901
                      7,                 1.1317,                 1.1308,                 1.1851,                0.17258,                0.85714,                0.23471,                0.17777,                 1.3694,                 14.218,                 1.4077,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0907,                 1.0825,                 1.1596,                0.13798,                0.57143,                0.24467,                 0.1515,                 1.4899,                 10.673,                 1.6359,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1141,                  1.073,                 1.1635,                0.12217,                0.85714,                0.13722,                0.09573,                  1.224,                 17.466,                 1.3634,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0539,                 1.0083,                 1.1316,                0.14646,                0.85714,                0.17206,                0.12209,                 1.1384,                 8.4225,                 1.3677,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.053,                0.95994,                 1.1299,                0.15648,                0.84829,                0.16171,                0.09784,                 1.3109,                 11.341,                 1.3564,               0.001802,               0.001802,               0.001802
                     12,                 1.0203,                0.95679,                 1.1218,                0.18759,                0.71429,                0.23408,                0.17864,                 1.1075,                 7.1362,                 1.3838,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0512,                  0.977,                  1.151,                0.12186,                0.57143,                0.18715,                0.13256,                  1.308,                 9.2337,                 1.3889,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.9985,                0.89411,                 1.1076,                0.13441,                      1,                0.15765,                0.11348,                 1.3189,                 8.3968,                 1.3852,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0253,                 0.9364,                 1.1356,                0.22702,                0.71429,                  0.249,                0.18234,                 1.3283,                 7.8038,                 1.3995,              0.0017228,              0.0017228,              0.0017228
                     16,                0.95376,                0.91735,                 1.1003,                0.12196,                      1,                0.12437,                0.08836,                 1.2369,                 7.5054,                 1.2741,               0.001703,               0.001703,               0.001703
                     17,                0.97767,                0.88303,                 1.1029,                0.10107,                0.85714,                0.14138,                0.10198,                 1.3398,                 7.2816,                 1.3256,              0.0016832,              0.0016832,              0.0016832
