                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8569,                   10.8,                0.64413,                  2.303,                 1.7561,                0.55366,                0.74427,                0.66588,                0.39423,                      0,                      0,                      0,                      0,                 1.4033,                 10.917,                0.30753,                 2.3324,                 1.4615,                0.07844,                0.00044,                0.00044
                      2,                 1.3391,                 10.115,                0.58172,                 1.1685,                  1.284,                0.73202,                0.81818,                0.81572,                0.46542,                      0,                      0,                      0,                      0,                  1.466,                 10.349,                 0.2524,                  2.399,                 1.4234,               0.055894,             0.00089406,             0.00089406
                      3,                 1.3066,                 9.6593,                0.55614,                 1.1249,                 1.2616,                0.10719,                0.32727,                0.09471,                0.05976,                      0,                      0,                      0,                      0,                 1.5199,                 10.126,                0.23951,                 7.0919,                 1.4587,               0.033342,               0.001342,               0.001342
                      4,                 1.2406,                 9.0921,                0.54752,                 1.0911,                 1.2378,                0.09658,                0.14545,                0.03798,                0.01552,                      0,                      0,                      0,                      0,                 2.7527,                 10.219,                0.26704,                 5.6724,                 2.6185,               0.010784,               0.001784,               0.001784
                      5,                 1.2111,                 8.8807,                0.51607,                 1.0432,                 1.2187,                 0.0418,                0.49091,                0.02875,                0.00876,                      0,                      0,                      0,                      0,                 2.9118,                 10.742,                0.27544,                 18.428,                 2.7664,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.1777,                 8.5703,                0.52789,                 1.0211,                  1.193,                0.72924,                    0.8,                0.75007,                0.47887,                      0,                      0,                      0,                      0,                 1.2404,                 9.1048,                0.20402,                 6.5031,                 1.4204,               0.001934,               0.001934,               0.001934
                      7,                 1.1559,                 8.0217,                0.53137,                0.97805,                 1.1958,                0.68186,                0.83636,                0.82551,                0.55585,                 0.1029,                0.07273,                0.01525,                0.00152,                 1.1441,                 7.8566,                0.18237,                 2.7614,                 1.2073,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.1331,                 7.6065,                0.52875,                0.93639,                 1.1681,                0.73099,                0.92727,                 0.8663,                 0.5937,                0.05723,                0.07273,                0.01185,                 0.0021,                  1.088,                 7.1876,                0.17771,                 1.3634,                 1.3019,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.1097,                 7.5615,                0.51512,                0.93878,                 1.1636,                0.75323,                 0.9435,                 0.8895,                0.62012,                0.18009,                0.16374,                0.05514,                0.00635,                 1.0082,                 6.6783,                0.18834,                 1.1862,                 1.2002,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.0884,                 7.4185,                0.53303,                0.89061,                 1.1394,                0.85772,                0.87689,                0.90103,                0.64478,                0.06731,                0.07273,                0.00853,                0.00106,                 1.0737,                 6.8533,                0.19694,                 1.4254,                 1.1925,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.1237,                 7.2148,                0.49626,                0.91804,                 1.1371,                0.85681,                0.92727,                0.93974,                0.68852,                  0.084,                0.09091,                0.03107,                0.00354,                  1.044,                 6.8394,                0.20894,                0.89812,                 1.1225,               0.001868,               0.001868,               0.001868
                     12,                 1.0446,                 6.5678,                 0.4955,                0.88352,                 1.1236,                0.81717,                0.97522,                0.91828,                0.66129,                0.22749,                    0.2,                0.06625,                0.01128,                 1.0536,                 6.0561,                 0.2067,                 1.5698,                 1.2132,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.0675,                 6.6547,                0.49467,                0.88391,                 1.1267,                0.83916,                0.87273,                0.88193,                0.64093,                0.29756,                0.27273,                0.13125,                 0.0195,                 1.0067,                 5.4147,                0.19799,                 1.0631,                 1.1582,              0.0018416,              0.0018416,              0.0018416
                     14,                0.99703,                 6.3899,                0.49977,                0.84899,                 1.0883,                0.81494,                0.96081,                0.84468,                0.59277,                0.30941,                0.36364,                0.16666,                0.02738,                 1.0433,                 5.4058,                0.19243,                0.80135,                 1.1855,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.0539,                 6.1572,                0.51067,                0.86324,                 1.1283,                0.80327,                0.96514,                0.90131,                0.61309,                0.57827,                0.58182,                0.47662,                0.06825,                 1.0975,                 5.1085,                0.20005,                0.89978,                 1.2117,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.0217,                 6.0464,                0.49107,                 0.8525,                 1.1195,                  0.816,                0.98182,                0.88605,                0.63386,                0.57505,                0.69091,                0.45468,                0.07914,                0.96767,                 4.8017,                0.19399,                0.83944,                 1.1271,               0.001802,               0.001802,               0.001802
                     17,                 1.0658,                 6.0188,                0.50102,                0.83943,                   1.13,                0.77038,                0.91506,                0.84869,                0.59649,                0.52271,                0.61818,                0.39252,                0.08923,                 1.0808,                 4.8973,                0.19396,                 1.1272,                 1.2046,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.0252,                 5.7194,                0.48276,                0.82928,                  1.099,                0.82552,                0.92727,                 0.8726,                0.67741,                0.65605,                0.79766,                0.59496,                0.12438,                0.98646,                 4.4641,                0.21098,                0.76803,                 1.0767,              0.0017756,              0.0017756,              0.0017756
                     19,                0.97183,                 5.7297,                0.46718,                0.78814,                 1.0734,                0.73457,                0.90575,                0.82031,                0.63807,                0.58778,                0.72592,                0.51449,                0.12841,                 1.0092,                 4.7519,                0.21737,                 1.9709,                 1.0806,              0.0017624,              0.0017624,              0.0017624
                     20,                 0.9629,                 5.6111,                0.45454,                0.80079,                 1.0831,                0.83195,                0.96364,                0.90202,                0.72131,                0.76085,                    0.8,                 0.6669,                0.12638,                0.88077,                 4.1101,                 0.2004,                0.68501,                 1.0262,              0.0017492,              0.0017492,              0.0017492
                     21,                0.98877,                 5.5119,                0.46656,                0.80728,                 1.1021,                0.79122,                0.96465,                0.94524,                0.74622,                0.76154,                0.67273,                 0.6316,                0.18997,                0.88154,                 4.1827,                0.19451,                0.79251,                 1.0321,               0.001736,               0.001736,               0.001736
                     22,                0.96429,                 5.4262,                0.47503,                0.77204,                  1.071,                0.85482,                 0.9635,                0.88094,                0.68512,                0.66377,                0.74545,                0.56107,                0.14449,                0.90355,                 4.0657,                0.19662,                0.97103,                 1.0289,              0.0017228,              0.0017228,              0.0017228
                     23,                0.96057,                 5.4732,                0.45367,                0.80915,                 1.0729,                0.83953,                0.96364,                0.88828,                0.68137,                0.68248,                0.78182,                0.62584,                0.20095,                0.86259,                 4.0075,                0.18921,                0.67109,                  1.022,              0.0017096,              0.0017096,              0.0017096
                     24,                0.93837,                 5.4784,                0.46179,                0.76545,                 1.0714,                0.86811,                0.95749,                0.93666,                0.71137,                0.76565,                0.83636,                0.71026,                0.20124,                0.90989,                 3.9018,                0.18755,                0.63356,                 1.0532,              0.0016964,              0.0016964,              0.0016964
