                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.89,                 10.812,                0.69276,                 2.5047,                 1.7673,                0.50971,                0.78182,                0.63198,                0.35403,                      0,                      0,                      0,                      0,                 1.2456,                 11.126,                0.65587,                 4.3392,                 1.2313,                0.00044,                0.00044,                0.00044
                      2,                 1.4059,                 10.395,                0.65262,                 1.3901,                 1.3278,                0.35729,                    0.6,                0.41428,                0.18101,                      0,                      0,                      0,                      0,                 2.0026,                 10.938,                0.53537,                 6.2641,                 1.9957,             0.00089406,             0.00089406,             0.00089406
                      3,                 1.4759,                 10.122,                0.60585,                  1.433,                 1.3638,                0.37222,                0.36364,                0.23253,                0.11329,                      0,                      0,                      0,                      0,                 2.0501,                 10.996,                 0.5569,                 3.0095,                 2.2273,               0.001342,               0.001342,               0.001342
                      4,                 1.3709,                 9.7369,                0.57235,                 1.2862,                 1.3084,                0.44197,                0.25455,                0.17962,                0.10467,                      0,                      0,                      0,                      0,                 2.4024,                 11.012,                0.43709,                 3.4245,                 2.2209,               0.001784,               0.001784,               0.001784
                      5,                 1.4607,                 9.8984,                0.53216,                 1.3631,                  1.347,                0.04907,                0.69091,                0.04011,                0.01635,                      0,                      0,                      0,                      0,                 2.1052,                 10.946,                0.24938,                 35.965,                 3.5395,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.3465,                 9.4656,                0.53253,                 1.2315,                 1.2743,                0.05937,                0.47273,                0.04422,                0.02528,                      0,                      0,                      0,                      0,                  1.757,                 10.456,                0.22188,                  16.36,                 1.6637,               0.001934,               0.001934,               0.001934
                      7,                 1.2883,                 9.1814,                0.52753,                 1.1875,                 1.2523,                0.38878,                    0.4,                0.31923,                 0.1684,                      0,                      0,                      0,                      0,                 2.0198,                 10.475,                0.15894,                 2.8078,                 1.8629,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.2927,                 8.8636,                0.51016,                 1.1489,                  1.271,                0.63719,                0.41818,                0.44901,                0.25069,                 0.0389,                0.05455,                0.00261,                 0.0003,                 1.5333,                 10.046,                0.15312,                 2.0316,                 1.4931,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.2045,                 8.9249,                0.51023,                  1.124,                 1.2144,                0.41554,                0.74545,                0.50475,                0.32328,                0.05444,                0.05455,                0.00506,                0.00056,                 1.2176,                 8.8725,                 0.1638,                   2.51,                 1.2669,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.1726,                 8.6951,                0.51262,                 1.0799,                 1.2145,                0.75554,                0.44966,                0.52594,                0.36594,                0.04402,                0.05455,                0.00427,                0.00059,                 1.1986,                 9.1521,                0.16232,                 1.4554,                 1.3716,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.1869,                 8.7266,                0.47989,                 1.0895,                 1.1812,                0.67966,                0.74545,                0.69985,                0.47306,                0.13493,                0.14545,                0.02644,                0.00405,                 1.1757,                  8.481,                0.16537,                 1.2184,                 1.3032,               0.001868,               0.001868,               0.001868
                     12,                 1.1814,                 8.1926,                0.50495,                 1.0906,                 1.1986,                0.73498,                0.72727,                0.66848,                0.42019,                0.07334,                0.10909,                0.01741,                0.00354,                 1.3292,                 8.1343,                0.20703,                  1.322,                 1.4459,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.1961,                 8.2708,                 0.4899,                 1.0605,                 1.2061,                0.74927,                0.61818,                0.59626,                0.39022,                0.15109,                0.10909,                0.03237,                0.00749,                  1.277,                 8.4339,                0.19845,                 1.9578,                 1.3424,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.1285,                 7.9179,                 0.5045,                 1.0303,                 1.1601,                0.72871,                0.73265,                0.67848,                0.46284,                0.19047,                0.21818,                0.04393,                0.00775,                  1.178,                 7.9623,                0.19412,                  1.545,                 1.2953,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.1392,                  7.889,                0.51943,                 1.0095,                 1.1786,                0.76401,                0.67273,                0.68806,                0.48446,                0.12317,                0.16364,                0.02559,                0.00679,                0.98533,                 8.1828,                0.22277,                0.96616,                 1.1649,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.0933,                 7.8018,                0.50546,                 1.0026,                 1.1431,                  0.724,                0.69091,                0.65802,                0.48011,                0.32961,                0.30909,                0.14848,                0.02708,                 1.0342,                 7.3181,                 0.2274,                 1.1821,                 1.1377,               0.001802,               0.001802,               0.001802
                     17,                 1.1229,                 7.5319,                0.51092,                 1.0125,                 1.1658,                0.70673,                0.70111,                 0.6864,                0.48585,                0.29195,                0.30909,                0.13013,                0.02774,                 1.0766,                 7.3914,                0.20169,                 1.0077,                 1.1314,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.0507,                 7.5933,                 0.4877,                0.96043,                 1.1224,                0.76286,                0.70195,                0.72535,                0.51751,                0.28537,                0.30909,                0.13531,                0.02801,                 1.0635,                 7.2971,                0.18958,                0.93187,                 1.1596,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.0431,                 7.1726,                0.47313,                0.95545,                 1.1181,                0.74819,                0.70909,                0.70945,                 0.5223,                0.29877,                0.30909,                0.14664,                0.03377,                 1.0853,                 7.3143,                0.20576,                0.94019,                 1.1199,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.0283,                 7.1777,                0.45954,                0.92198,                 1.1081,                0.76172,                0.69091,                0.71977,                 0.4947,                0.42574,                0.38182,                0.24919,                0.04948,                 1.0499,                 6.8834,                0.18936,                0.95405,                 1.1195,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.0339,                 7.3085,                0.49058,                0.92066,                 1.1156,                 0.8357,                0.72727,                0.78128,                 0.5562,                0.48891,                0.61818,                0.41291,                0.10897,                  1.031,                 6.5189,                0.18094,                0.86911,                 1.1372,               0.001736,               0.001736,               0.001736
                     22,                 1.0226,                 6.9734,                 0.4979,                0.90143,                 1.1293,                0.84387,                0.65455,                0.73603,                0.55404,                0.26531,                0.32727,                0.13254,                0.03818,                0.98868,                 6.8637,                0.17643,                0.85407,                 1.0869,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.0331,                 7.0019,                0.46633,                 0.9404,                 1.1043,                 0.8579,                0.69091,                0.73839,                0.53381,                0.41912,                0.49091,                0.27001,                 0.0781,                0.95951,                 6.7228,                0.20186,                 0.8176,                 1.0853,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.0063,                 6.8382,                0.48289,                0.92019,                 1.1191,                0.80254,                0.74545,                0.74748,                0.54247,                0.48957,                0.50909,                0.34868,                0.12245,                  1.067,                 6.3369,                0.21007,                0.77432,                 1.1751,              0.0016964,              0.0016964,              0.0016964
                     25,                0.99815,                 6.6284,                0.48666,                0.91817,                 1.0991,                 0.8311,                0.71582,                0.72884,                0.54159,                0.46382,                0.54545,                0.31695,                0.09951,                 1.0577,                 6.4379,                0.20621,                0.72808,                 1.1471,              0.0016832,              0.0016832,              0.0016832
                     26,                  1.034,                 6.5658,                0.46079,                0.88973,                 1.1223,                  0.747,                0.74545,                0.71182,                0.53607,                0.62446,                0.63493,                0.45993,                0.16166,                0.93826,                 6.0076,                0.18485,                 1.0903,                 1.0724,                0.00167,                0.00167,                0.00167
                     27,                 1.0362,                 6.9573,                0.44868,                0.93796,                 1.1094,                0.77317,                0.74545,                0.70292,                0.48929,                0.41282,                0.47297,                0.27861,                0.07482,                  1.032,                 6.4572,                0.17347,                 1.0967,                 1.1454,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.0254,                 6.5757,                0.48092,                0.93132,                  1.103,                0.77631,                0.70909,                0.71556,                0.52796,                0.42595,                0.45455,                0.29039,                 0.0752,                0.97583,                 6.2192,                0.18335,                 1.5123,                 1.0725,              0.0016436,              0.0016436,              0.0016436
                     29,                0.95898,                 6.6633,                0.48199,                0.87191,                 1.0676,                0.74863,                0.74545,                0.75733,                0.57592,                0.61775,                0.52892,                0.48936,                0.15367,                0.94186,                 5.8829,                0.20119,                 0.8451,                 1.0555,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.0117,                 6.5316,                 0.4576,                0.89345,                 1.0956,                0.76827,                0.74545,                0.75035,                0.54672,                0.62474,                    0.6,                0.50826,                0.17409,                 1.0461,                 5.8503,                0.19461,                0.80317,                 1.1438,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.0101,                 6.6464,                0.44458,                0.89729,                 1.0895,                0.78186,                0.74545,                 0.7183,                 0.5456,                0.67063,                    0.6,                0.51505,                0.18416,                0.99555,                 5.5461,                0.17958,                0.83901,                 1.0968,               0.001604,               0.001604,               0.001604
                     32,                0.96479,                  6.086,                0.45327,                0.85239,                 1.0726,                0.77901,                0.72727,                0.70777,                0.51423,                0.53226,                0.54545,                0.36179,                0.09809,                 0.9959,                 5.9165,                0.19085,                0.86117,                 1.0749,              0.0015908,              0.0015908,              0.0015908
                     33,                0.92643,                 6.5645,                0.44431,                0.86121,                 1.0639,                0.84584,                0.67273,                0.72214,                0.55152,                0.57855,                  0.649,                 0.4755,                0.19599,                0.99621,                 5.7466,                 0.1847,                0.88492,                 1.0898,              0.0015776,              0.0015776,              0.0015776
                     34,                0.97954,                 6.4149,                0.43572,                0.85877,                 1.0926,                0.86129,                0.69091,                0.77987,                0.57495,                0.53835,                0.69091,                0.52728,                0.18588,                 1.0746,                 5.3417,                0.16619,                 0.7198,                 1.1648,              0.0015644,              0.0015644,              0.0015644
                     35,                0.95642,                 6.4602,                0.42372,                0.80431,                 1.0675,                 0.7865,                0.74545,                0.76623,                0.58146,                0.60591,                0.74545,                0.58039,                0.25527,                0.90429,                 5.3412,                0.16453,                0.68078,                 1.0554,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.0118,                 6.1376,                0.44692,                0.88694,                 1.1112,                0.83558,                0.73928,                0.77171,                0.59556,                0.64467,                0.65455,                0.54933,                0.19585,                0.87591,                 5.3894,                0.18343,                0.68534,                 1.0572,               0.001538,               0.001538,               0.001538
                     37,                0.91934,                 6.2496,                0.42422,                0.82427,                 1.0595,                 0.8745,                0.76364,                0.75921,                0.59471,                0.63469,                0.72727,                0.57943,                0.23393,                0.93512,                 5.3785,                0.17295,                  0.788,                  1.113,              0.0015248,              0.0015248,              0.0015248
                     38,                0.95742,                 5.9657,                0.42746,                 0.8615,                 1.0819,                0.87058,                0.73394,                0.76705,                0.58617,                0.64937,                0.63985,                0.54278,                0.21172,                0.96484,                 5.4208,                 0.1795,                0.77636,                  1.045,              0.0015116,              0.0015116,              0.0015116
