                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6065,                 10.025,                0.70968,                 3.0532,                 2.6474,                0.60382,                0.58182,                0.53871,                 0.2073,                      0,                      0,                      0,                      0,                 2.0433,                 11.291,                0.67832,                 1.6194,                 1.7178,                 0.0802,                 0.0022,                 0.0022
                      2,                 1.6997,                 9.8882,                0.70417,                 1.7684,                 1.8051,                0.55839,                0.45987,                0.41266,                0.13435,                      0,                      0,                      0,                      0,                 2.3367,                 11.285,                0.67202,                 1.8088,                 1.8296,               0.059455,               0.004455,               0.004455
                      3,                 1.6152,                 9.7176,                0.68846,                 1.4606,                 1.6748,                0.47256,                0.50909,                0.32197,                0.10234,                      0,                      0,                      0,                      0,                 2.5409,                 10.954,                0.65561,                 2.3492,                 2.1144,               0.038664,              0.0066641,              0.0066641
                      4,                 1.6071,                 9.2444,                0.68075,                 1.3604,                 1.6378,                0.72304,                0.61709,                0.61101,                0.24899,                      0,                      0,                      0,                      0,                 1.8645,                 10.246,                0.64013,                 1.2908,                 1.7174,               0.017827,              0.0088273,              0.0088273
                      5,                 1.5627,                 9.0341,                0.67104,                 1.4128,                 1.6037,                0.57547,                0.74545,                0.58221,                0.16659,                      0,                      0,                      0,                      0,                 2.0819,                 9.9444,                0.63713,                 1.6764,                  1.874,              0.0096004,              0.0096004,              0.0096004
                      6,                 1.5455,                 8.6722,                0.66438,                 1.3767,                 1.5954,                 0.6083,                    0.6,                 0.5859,                0.20158,                      0,                      0,                      0,                      0,                  1.944,                 10.047,                0.59354,                 1.9626,                 1.7274,              0.0095005,              0.0095005,              0.0095005
                      7,                 1.5217,                 8.2928,                 0.6602,                 1.3492,                 1.5995,                0.65197,                0.64722,                0.54391,                0.19286,                      0,                      0,                      0,                      0,                 2.1262,                 9.3988,                 0.5629,                 1.3393,                  1.807,              0.0094006,              0.0094006,              0.0094006
                      8,                 1.5041,                 7.8995,                  0.649,                 1.3132,                 1.5815,                0.43266,                0.58182,                0.43476,                0.14831,                      0,                      0,                      0,                      0,                 2.3431,                 9.8003,                0.54924,                 1.6876,                 2.1681,              0.0093007,              0.0093007,              0.0093007
                      9,                 1.4662,                  7.897,                0.64318,                 1.3065,                 1.5361,                0.70033,                0.72241,                0.63441,                0.28541,                 0.0315,                0.01818,                0.00155,                0.00026,                 1.7866,                 8.8392,                0.50004,                 1.4256,                 1.5653,              0.0092008,              0.0092008,              0.0092008
                     10,                 1.4424,                 7.5752,                0.63647,                 1.2492,                 1.5435,                0.64265,                0.52727,                0.54575,                0.19956,                0.08722,                0.05455,                0.00719,                0.00163,                 2.1406,                 8.2807,                0.46749,                   1.36,                 1.8897,              0.0091009,              0.0091009,              0.0091009
