                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2969,                 9.6519,                0.69784,                 2.6057,                 2.3373,                 0.3184,                0.78182,                0.38057,                0.12176,                      0,                      0,                      0,                      0,                 2.0401,                 11.461,                0.66626,                 2.6166,                 1.8654,                0.00044,                0.00044,                0.00044
                      2,                 1.6743,                 9.2377,                0.65767,                 1.5691,                 1.7516,                0.26965,                0.63636,                0.26632,                0.07287,                      0,                      0,                      0,                      0,                 2.1579,                 11.186,                0.57254,                 8.4666,                 2.2832,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.7543,                 9.3333,                0.60711,                 1.5706,                 1.7572,                0.39604,                0.36364,                0.27683,                0.07893,                      0,                      0,                      0,                      0,                 3.0034,                 11.255,                0.47818,                 2.5239,                 3.0473,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.7681,                 9.0352,                0.57061,                 1.5377,                 1.7594,                0.10965,                0.23636,                0.04808,                0.01834,                0.01043,                0.01818,                0.00034,                  3e-05,                 2.8603,                 11.177,                0.38463,                 3.8514,                  3.251,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.6858,                 8.9012,                0.53043,                 1.4638,                 1.7096,                0.10878,                0.10909,                 0.0445,                0.01048,                      0,                      0,                      0,                      0,                 3.7292,                  11.22,                0.54012,                 4.5921,                 3.7357,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6744,                  8.793,                0.51775,                  1.413,                 1.6815,                0.25994,                0.36364,                0.20531,                0.06393,                0.01982,                0.01818,                0.00064,                  6e-05,                 2.3395,                 11.066,                0.16524,                 7.8564,                    2.3,               0.001901,               0.001901,               0.001901
                      7,                 1.6858,                 8.5468,                0.51298,                 1.4529,                 1.7279,                0.12736,                0.14545,                0.04462,                0.01713,                0.00203,                0.03636,                0.00018,                  3e-05,                 3.2551,                 11.267,                0.12271,                  18.26,                 4.3339,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5929,                 8.1961,                0.48102,                 1.3624,                 1.6609,                0.47373,                0.34545,                0.31209,                0.13098,                0.07623,                0.01818,                0.00245,                0.00066,                 1.9237,                 10.495,                0.13821,                 4.3677,                 1.9583,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5899,                 8.2514,                0.48658,                 1.3693,                  1.637,                0.54743,                0.54988,                0.53396,                0.24624,                0.13242,                0.08338,                0.02159,                0.00483,                 1.9165,                 10.225,                0.14503,                 3.4354,                 1.9597,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5623,                 7.9769,                0.48333,                 1.3182,                 1.6418,                0.62474,                0.75681,                0.64394,                0.29183,                0.12146,                0.07273,                0.02686,                0.00697,                 1.6909,                 10.138,                0.11997,                  1.895,                  1.668,              0.0018218,              0.0018218,              0.0018218
