                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8485,                 10.534,                0.69318,                 2.3575,                 1.7463,                0.49842,                0.88534,                0.63659,                0.37645,                      0,                      0,                      0,                      0,                 1.2449,                 11.436,                  0.658,                 2.3877,                 1.3512,                0.00044,                0.00044,                0.00044
                      2,                 1.3505,                 10.211,                0.64821,                 1.2725,                 1.3065,                0.67531,                0.75639,                0.69607,                0.38799,                      0,                      0,                      0,                      0,                 1.4701,                 11.242,                0.54741,                 2.5698,                 1.4258,             0.00089109,             0.00089109,             0.00089109
                      3,                  1.347,                 10.101,                0.60375,                 1.1854,                   1.28,                0.55331,                0.90092,                0.70988,                0.40698,                      0,                      0,                      0,                      0,                 1.4493,                   11.3,                0.29387,                 1.8618,                 1.4393,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.3313,                 9.8635,                0.57025,                 1.1426,                 1.2886,                0.33137,                0.38182,                0.26659,                0.07889,                      0,                      0,                      0,                      0,                 2.2695,                  11.44,                0.13232,                  5.343,                 3.3172,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.3208,                 9.8359,                0.53494,                 1.1261,                 1.2753,                0.30302,                0.48224,                0.26924,                0.15661,                      0,                      0,                      0,                      0,                 1.5303,                 11.263,                 0.1243,                  4.245,                  1.681,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2418,                 9.9307,                0.53166,                 1.0583,                 1.2121,                 0.7751,                0.52727,                0.60415,                0.35071,                      0,                      0,                      0,                      0,                 1.7196,                 11.027,                0.14764,                 1.9843,                 1.7717,               0.001901,               0.001901,               0.001901
                      7,                 1.2289,                 9.5861,                0.52997,                 1.0506,                 1.2195,                0.84805,                0.40604,                 0.5185,                0.33057,                0.00103,                0.01818,                0.00056,                  6e-05,                 1.7629,                 10.957,                0.22079,                 1.5217,                 1.7114,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1891,                 9.4605,                0.50754,                 1.0069,                 1.2059,                0.69904,                0.67273,                  0.685,                0.44195,                 0.0156,                0.03636,                0.00182,                0.00018,                  1.278,                 10.846,                0.17801,                 1.1162,                  1.325,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1836,                 9.3785,                0.51681,                 1.0123,                 1.2047,                0.76632,                0.89091,                0.80646,                0.54575,                0.02692,                0.05455,                0.00218,                0.00027,                 1.0742,                 10.406,                0.17037,                 1.8296,                 1.1543,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1147,                 9.2728,                0.52929,                0.93549,                 1.1616,                0.80252,                0.81285,                0.82542,                0.57054,                0.04825,                0.03636,                0.00334,                0.00067,                 1.0747,                 10.512,                0.14401,                 3.1806,                 1.2281,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1324,                 9.4184,                 0.4905,                 0.9925,                 1.1702,                0.81237,                0.92727,                0.85751,                0.60401,                0.07938,                0.07273,                 0.0077,                0.00101,                 1.0364,                 10.164,                 0.1646,                 1.6168,                 1.1759,               0.001802,               0.001802,               0.001802
                     12,                 1.1346,                 8.8927,                0.49933,                0.98009,                 1.1689,                0.45542,                0.83636,                0.54091,                0.38417,                0.10274,                0.09091,                  0.016,                 0.0035,                 1.0617,                 10.142,                0.18535,                 2.1053,                 1.1584,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0929,                  8.959,                0.49577,                0.94909,                 1.1506,                0.74898,                0.97656,                0.81294,                0.59949,                0.16429,                0.10909,                0.02801,                0.00605,                0.93706,                 9.8414,                0.14691,                  1.389,                 1.1085,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0883,                 9.0836,                0.49029,                0.94284,                 1.1419,                0.76557,                0.95005,                0.84815,                0.60669,                0.11223,                0.14545,                0.02285,                0.00565,                 1.1094,                 9.9246,                0.14578,                 1.2984,                 1.1886,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1078,                  8.553,                0.50524,                0.94166,                 1.1687,                0.67541,                0.96364,                0.86533,                0.63836,                0.14545,                0.14545,                0.03118,                 0.0085,                 0.8812,                 9.6749,                0.15775,                0.97129,                 1.0675,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0638,                 8.5764,                 0.4816,                0.91721,                 1.1469,                0.75805,                0.85455,                0.77961,                0.54664,                0.15585,                0.12727,                 0.0275,                0.00498,                  1.004,                 9.9361,                0.17702,                 1.1809,                 1.1033,               0.001703,               0.001703,               0.001703
                     17,                 1.0616,                 8.5984,                0.49374,                0.88723,                 1.1381,                0.83595,                0.87273,                0.86282,                0.65611,                0.22758,                0.23636,                0.08578,                0.01963,                0.87475,                 9.4147,                0.17258,                0.88382,                 1.0343,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0355,                 8.3943,                0.46734,                0.87448,                 1.1238,                0.76431,                0.94338,                0.86652,                0.65503,                0.26372,                0.23636,                0.11514,                0.02521,                0.89134,                 9.3689,                0.16436,                0.79213,                 1.0676,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0224,                 8.4011,                0.44398,                0.85734,                 1.1113,                0.74184,                0.94545,                 0.8038,                0.58055,                0.24158,                 0.2491,                0.09056,                0.02595,                0.93975,                  9.297,                0.13807,                0.82562,                 1.0936,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0191,                 8.2567,                0.43439,                0.88299,                 1.1078,                0.81184,                0.92727,                0.84625,                0.61918,                0.24857,                0.23636,                0.11239,                0.03616,                0.95587,                 9.2028,                0.13611,                0.98173,                 1.0817,              0.0016238,              0.0016238,              0.0016238
                     21,                0.98038,                 8.0329,                0.45089,                0.85463,                 1.1016,                0.75878,                0.94545,                0.78567,                0.59515,                0.25928,                0.21818,                0.08627,                0.02823,                0.92547,                 8.9708,                0.13435,                0.95007,                 1.0431,               0.001604,               0.001604,               0.001604
