                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73185,                 10.533,                 0.6959,                0.63069,                0.97911,                0.74705,                0.98182,                0.85695,                0.66125,                      0,                      0,                      0,                      0,                0.83436,                 11.461,                 0.6653,                0.61096,                0.98624,                0.00044,                0.00044,                0.00044
                      2,                0.81782,                 9.9709,                0.64393,                0.67732,                 1.0219,                0.77548,                0.94545,                0.87071,                0.66178,                      0,                      0,                      0,                      0,                0.83645,                 10.991,                0.57993,                0.67356,                0.99853,             0.00089109,             0.00089109,             0.00089109
                      3,                0.86141,                 9.5791,                0.61575,                0.72029,                 1.0275,                 0.7376,                0.97111,                0.84319,                0.63042,                0.07364,                0.07273,                0.02937,                0.00294,                0.93334,                 10.553,                0.38851,                0.69528,                 1.0809,              0.0013331,              0.0013331,              0.0013331
                      4,                0.92029,                 9.0132,                0.58866,                0.77761,                 1.0626,                0.78605,                0.86847,                0.81431,                0.62566,                0.06807,                0.05455,                 0.0088,                0.00136,                0.85527,                 10.406,                0.28451,                0.82997,                  1.002,              0.0017659,              0.0017659,              0.0017659
                      5,                0.92406,                 8.7155,                0.55152,                 0.7613,                 1.0533,                0.79874,                0.92727,                0.84697,                0.64581,                 0.0703,                0.07273,                0.01238,                0.00142,                0.90587,                 10.199,                0.24231,                0.71136,                   1.01,              0.0019208,              0.0019208,              0.0019208
                      6,                0.89373,                 8.7629,                0.54862,                0.74827,                 1.0347,                0.78806,                0.90909,                0.83607,                0.64577,                0.07736,                0.07273,                0.01039,                0.00188,                0.85539,                 10.226,                0.17537,                0.73281,                 1.0167,               0.001901,               0.001901,               0.001901
                      7,                0.89254,                 8.3829,                0.55339,                0.76312,                 1.0418,                0.79529,                0.91836,                0.82752,                 0.6393,                0.15871,                0.14545,                0.03854,                0.00628,                0.89849,                 9.8089,                0.16636,                0.70496,                 1.0511,              0.0018812,              0.0018812,              0.0018812
                      8,                0.89026,                 8.1348,                0.53088,                0.73579,                 1.0378,                0.77933,                 0.9632,                0.87161,                 0.6684,                0.22411,                0.10909,                0.04196,                0.01541,                0.92404,                 9.5602,                0.16547,                0.69372,                 1.0315,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89629,                 8.0182,                0.53511,                0.75531,                 1.0483,                0.76738,                0.95972,                0.84282,                0.61151,                0.21128,                0.14545,                0.05245,                0.01163,                0.88908,                  9.509,                 0.1724,                0.72988,                 1.0239,              0.0018416,              0.0018416,              0.0018416
                     10,                0.90078,                 7.7316,                0.54596,                0.73695,                 1.0444,                0.80944,                0.92679,                0.85051,                0.65313,                0.30504,                0.34545,                 0.1462,                0.03404,                0.84708,                 8.9514,                0.19012,                0.72054,                0.99523,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9193,                 7.9323,                0.52655,                0.77868,                 1.0442,                0.83517,                0.92131,                0.90288,                0.67462,                0.30163,                0.29091,                0.11658,                0.03641,                0.93984,                 8.9791,                 0.2004,                0.68078,                 1.0501,               0.001802,               0.001802,               0.001802
                     12,                0.88287,                  7.426,                0.53064,                0.76494,                 1.0391,                 0.8198,                0.83636,                0.81576,                0.61553,                0.39636,                0.38182,                0.22868,                0.06383,                0.92199,                 8.7148,                 0.2112,                0.81626,                 1.0525,              0.0017822,              0.0017822,              0.0017822
                     13,                0.89621,                 7.3829,                0.52819,                 0.7729,                 1.0416,                0.80547,                0.92727,                0.80993,                 0.6137,                0.61911,                0.52727,                0.43281,                 0.1697,                0.86709,                 8.4291,                 0.2201,                0.74719,                 1.0245,              0.0017624,              0.0017624,              0.0017624
                     14,                0.87224,                 7.5192,                0.53477,                0.75418,                 1.0269,                0.77848,                0.95849,                0.85251,                 0.6526,                 0.4786,                0.47273,                0.39517,                0.14048,                0.84063,                 8.3074,                0.21831,                0.70043,                 1.0031,              0.0017426,              0.0017426,              0.0017426
                     15,                0.88067,                 7.0082,                 0.5554,                0.75294,                 1.0393,                 0.7841,                0.94545,                0.83775,                0.62197,                0.41138,                0.45455,                0.24711,                0.08327,                0.89974,                 8.4377,                0.22072,                0.90686,                 1.0448,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88473,                 6.8504,                0.52547,                0.75607,                 1.0411,                 0.8063,                0.90822,                0.88455,                0.68115,                0.47619,                0.52896,                0.35435,                0.13171,                0.88242,                 8.3457,                0.21468,                0.75085,                 1.0282,               0.001703,               0.001703,               0.001703
                     17,                0.89812,                 7.0467,                0.54938,                0.76126,                  1.051,                0.84399,                0.88531,                0.87758,                0.68032,                0.53197,                0.55803,                 0.4026,                0.17219,                0.87173,                 8.2318,                0.22035,                0.66042,                 1.0351,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89581,                 6.9046,                0.52751,                0.74284,                 1.0409,                0.79075,                0.96193,                0.87238,                0.64605,                0.56362,                0.43636,                0.38364,                0.19072,                0.90202,                 8.4275,                0.21692,                 0.6583,                 1.0259,              0.0016634,              0.0016634,              0.0016634
                     19,                0.85124,                   6.74,                0.50856,                0.71484,                 1.0178,                0.86642,                0.87273,                0.87247,                0.66332,                0.53147,                0.47273,                 0.3114,                 0.1556,                0.81307,                 8.1228,                 0.2082,                0.74034,                0.99373,              0.0016436,              0.0016436,              0.0016436
                     20,                0.84686,                 6.6285,                0.49598,                0.74906,                 1.0179,                0.73884,                0.97739,                0.85132,                0.66351,                0.56748,                0.52727,                0.40836,                0.19411,                 0.7623,                 8.1813,                0.20084,                0.71877,                0.95403,              0.0016238,              0.0016238,              0.0016238
                     21,                0.86384,                 6.5507,                 0.5141,                0.71935,                 1.0347,                0.73683,                0.91635,                0.83279,                0.63086,                 0.6083,                0.45455,                0.38878,                0.22233,                0.86905,                  8.192,                 0.1956,                0.73884,                0.99569,               0.001604,               0.001604,               0.001604
                     22,                0.86485,                 6.7103,                0.52027,                0.70531,                 1.0374,                0.73702,                0.96821,                0.84003,                0.66117,                0.45759,                0.45455,                0.25546,                0.11455,                0.79571,                 8.3837,                 0.1942,                 0.7488,                0.97425,              0.0015842,              0.0015842,              0.0015842
                     23,                0.85752,                 6.5291,                 0.5083,                 0.7479,                 1.0329,                0.77039,                0.97612,                0.83877,                0.63413,                 0.5086,                0.50909,                0.35985,                0.18585,                0.89067,                 8.0113,                0.21085,                0.68594,                 1.0419,              0.0015644,              0.0015644,              0.0015644
                     24,                0.83358,                 6.7134,                0.51939,                0.72149,                 1.0274,                0.79591,                0.90909,                0.82887,                0.64725,                0.59445,                0.49091,                0.42652,                0.23564,                0.83264,                 8.0195,                0.20833,                 0.6935,                 1.0205,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.8542,                 6.4168,                0.51145,                0.73195,                 1.0204,                0.78474,                0.92797,                 0.8457,                0.63595,                0.51392,                0.38182,                 0.2935,                0.16026,                0.92676,                 8.2183,                 0.1983,                0.77279,                 1.0755,              0.0015248,              0.0015248,              0.0015248
                     26,                0.88006,                 6.1854,                0.51628,                0.73776,                 1.0458,                0.77551,                0.87941,                0.83671,                 0.6542,                0.55677,                0.57105,                0.38018,                0.19906,                0.77277,                 8.0614,                0.20419,                 0.7667,                0.99545,               0.001505,               0.001505,               0.001505
